# BEAST v1.10.4 Prerelease #bc6cbd9
# Generated Thu May 15 11:32:16 CEST 2025 [seed=1747301535910]
# LRV_Pos_VG_Assembllies_REFS.xml
state	country.rates.Bolivia.Brazil	country.rates.Bolivia.French Guiana	country.rates.Bolivia.Peru	country.rates.Bolivia.Suriname	country.rates.Bolivia.Venezuela	country.rates.Brazil.French Guiana	country.rates.Brazil.Peru	country.rates.Brazil.Suriname	country.rates.Brazil.Venezuela	country.rates.French Guiana.Peru	country.rates.French Guiana.Suriname	country.rates.French Guiana.Venezuela	country.rates.Peru.Suriname	country.rates.Peru.Venezuela	country.rates.Suriname.Venezuela	country.indicators.Bolivia.Brazil	country.indicators.Bolivia.French Guiana	country.indicators.Bolivia.Peru	country.indicators.Bolivia.Suriname	country.indicators.Bolivia.Venezuela	country.indicators.Brazil.French Guiana	country.indicators.Brazil.Peru	country.indicators.Brazil.Suriname	country.indicators.Brazil.Venezuela	country.indicators.French Guiana.Peru	country.indicators.French Guiana.Suriname	country.indicators.French Guiana.Venezuela	country.indicators.Peru.Suriname	country.indicators.Peru.Venezuela	country.indicators.Suriname.Venezuela	country.nonZeroRates
27000	0.28866690098030784	0.19472862882406441	1.9830100708872849	0.39402898964610744	0.4216486703747316	2.458125711887386	1.642954006411191	2.748546306042578	0.885693355138159	0.8935965713445612	0.43023217879837405	0.7157344084110632	0.027622479282466906	0.6289297761603816	0.12674365354624212	0.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	6.0
28000	0.2593241393100138	0.1696718805106822	1.8120624715163522	1.08676473060195	1.334673348816522	2.401047070937742	1.0686970992778366	2.2106168709799894	0.27188088602303223	0.4601229769665169	0.39837595607469756	2.4629589346453526	0.013098485667445117	0.5011085027814677	0.16654954762790106	1.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	7.0
29000	0.1277453792028486	0.10338734987164164	2.9629260438655773	1.3202684074422488	0.35413029865267687	4.729427731034823	2.379877169222532	0.8115936577557524	0.19945521215301532	0.39171072296274834	1.310015423966866	0.7877723496061965	0.08929970333673456	0.6816847130468943	0.1787938041854436	0.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	6.0
30000	0.06640762998187011	0.11289441860763066	0.9261344297951603	4.1700355200590025	0.7279082962172779	2.338487336183445	0.9185214183104066	1.7978551973904047	0.26330370010659343	0.6872072719434402	0.4387524856118056	0.8735418939910683	0.37905453161586045	0.6714679297212289	0.12075718142907836	0.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	6.0
31000	0.1658523010253217	0.22851371390216907	0.7647182374515884	0.3016818049834674	2.207946448638424	0.4905102353708499	0.7576890008860948	0.980620688972342	0.5028010952072152	0.1840517483144714	0.2196121618158112	1.7206392751058222	0.2163242143402033	1.073094969449025	0.13845046340461978	0.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	6.0
32000	0.3365544872453715	0.7730026380680821	1.4892743228468786	0.2493835462299872	3.0145173190956522	1.3957455387029098	1.440435098616525	0.4410215852524158	0.8606562524642726	0.1012909644761467	0.18351104607400717	0.2591818313754005	0.19371881329515422	0.6061829181586631	0.4561566512973171	0.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	5.0
33000	0.7510687413057799	2.0961234925864347	1.6271507173799433	0.1304226633108955	1.9041685310835343	2.0655604728582206	1.0576778281967933	2.1756838604989635	0.6792759832036283	0.028998393136029817	0.11530813817880664	0.5678134435614489	0.8212174167269439	0.48520714087182637	0.7510270792280499	0.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	6.0
34000	0.7291117671210232	1.1123284506741073	1.46969361800342	0.4203311254231525	1.4721849248930108	2.936153697879375	1.1485183426958792	0.7946409935502113	1.1427965408045868	0.06411766482368662	0.26368222916548806	0.31091183990229765	1.1490663670807506	3.178567088071283	0.6501233847068716	0.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	6.0
35000	0.7731847016256815	1.5425686607959437	3.7712773406744704	0.4364772781940576	0.9594437788460644	4.117563325876802	0.600474355786995	0.4210053914646098	0.10783523335683864	0.7355121731978757	0.6321811440404854	0.3013312942026866	2.5476124683517023	3.017403039832211	1.0562943318539473	0.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	5.0
36000	0.6065913506881746	1.1568736309233472	0.8039456859880071	0.5748137173991336	1.4471039147416025	1.2111523418175918	0.6095679443695854	0.43593957502224057	0.4003180259586525	1.1257290274496496	0.934678518351952	0.2381075859021563	2.4472765201588755	4.634636601586113	0.6816763678085298	0.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	6.0
